season,name,retailer,category,shade,price,salePrice,url,confidence,img,dateAdded
lightSpring,Mohito Strappy Top,mohito,top,skyblue,69 RON,,https://www.mohito.com/ro/ro/top-cu-bretele-130is-05x,high,https://static.mohito.com/media/catalog/product/1/3/130IS-05X-001-1-1207920.jpg,2025-01-11
lightSummer,Mohito Strappy Top,mohito,top,powderblue,69 RON,,https://www.mohito.com/ro/ro/top-cu-bretele-130is-05x,high,https://static.mohito.com/media/catalog/product/1/3/130IS-05X-001-1-1207920.jpg,2025-01-12
softAutumn,Mohito Short Sleeve Blouse,mohito,top,sage,99 RON,,https://www.mohito.com/ro/ro/bluza-cu-maneci-ornamentale-072kz-81x,high,https://static.mohito.com/media/catalog/product/0/7/072KZ-81X-040-1-1278011.jpg,2025-01-12
softSummer,Mohito Short Sleeve Blouse,mohito,top,sagegreen,99 RON,,https://www.mohito.com/ro/ro/bluza-cu-maneci-ornamentale-072kz-81x,high,https://static.mohito.com/media/catalog/product/0/7/072KZ-81X-040-1-1278011.jpg,2025-01-12
softAutumn,Mohito Short Sleeve Maxi Dress,mohito,dress,olivegreen,169 RON,,https://www.mohito.com/ro/ro/rochie-maxi-cu-maneca-scurta-2-792kk-81p,high,https://static.mohito.com/media/catalog/product/7/9/792KK-81P-041-2-1278016.jpg,2025-01-12
brightWinter,Mohito Sleeveless Shirt,mohito,top,black,69 RON,,https://www.mohito.com/ro/ro/camasa-fara-maneci-804kx-99x,high,https://static.mohito.com/media/catalog/product/8/0/804KX-99X-040-1-1278020.jpg,2025-01-13
deepWinter,Mohito Sleeveless Shirt,mohito,top,trueblack,69 RON,,https://www.mohito.com/ro/ro/camasa-fara-maneci-804kx-99x,high,https://static.mohito.com/media/catalog/product/8/0/804KX-99X-040-1-1278020.jpg,2025-01-13
brightWinter,Mohito Wide Leg Trousers,mohito,accessory,black,149 RON,,https://www.mohito.com/ro/ro/pantaloni-cu-croi-larg-513jv-99x,high,https://static.mohito.com/media/catalog/product/5/1/513JV-99X-040-1-1277996.jpg,2025-01-13
deepWinter,Mohito Wide Leg Trousers,mohito,accessory,trueblack,149 RON,,https://www.mohito.com/ro/ro/pantaloni-cu-croi-larg-513jv-99x,high,https://static.mohito.com/media/catalog/product/5/1/513JV-99X-040-1-1277996.jpg,2025-01-13
softSummer,Mohito Wide Leg Trousers,mohito,accessory,stone,149 RON,,https://www.mohito.com/ro/ro/pantaloni-cu-croi-larg-513jv-84x,high,https://static.mohito.com/media/catalog/product/5/1/513JV-84X-040-1-1278001.jpg,2025-01-14
softSummer,Mohito Short Sleeve Shirt,mohito,top,sagegreen,109 RON,,https://www.mohito.com/ro/ro/camasa-cu-maneci-scurte-392iy-87x,high,https://static.mohito.com/media/catalog/product/3/9/392IY-87X-040-1-1257892.jpg,2025-01-14
softSummer,Mohito Viscose Shorts,mohito,accessory,sagegreen,79 RON,,https://www.mohito.com/ro/ro/pantaloni-scurti-din-viscoza-747jl-87x,high,https://static.mohito.com/media/catalog/product/7/4/747JL-87X-040-1-1257883.jpg,2025-01-14
lightSpring,Mohito Maxi Dress with Tie Back,mohito,dress,butter,199 RON,,https://www.mohito.com/ro/ro/rochie-maxi-cu-legare-la-spate-2-660kk-10x,high,https://static.mohito.com/media/catalog/product/6/6/660KK-10X-040-2-1263294.jpg,2025-01-14
coolSummer,Mohito Viscose Maxi Dress,mohito,dress,slateblue,139 RON,99 RON,https://www.mohito.com/ro/ro/rochie-midi-din-viscoza-081hh-50x,high,https://static.mohito.com/media/catalog/product/0/8/081HH-50X-001-1-1028800_5.jpg,2025-01-15
